date,Nike,Adidas
2026-02-28,69,63
2026-03-01,78,66
2026-03-02,64,54
2026-03-03,64,59
2026-03-04,72,60
2026-03-05,66,57
2026-03-06,65,60
2026-03-07,81,71
2026-03-08,83,73
2026-03-09,69,62
2026-03-10,72,62
2026-03-11,68,58
2026-03-12,69,58
2026-03-13,66,58
2026-03-14,82,72
2026-03-15,90,82
2026-03-16,67,64
2026-03-17,71,63
2026-03-18,70,62
2026-03-19,70,60
2026-03-20,64,65
2026-03-21,79,76
2026-03-22,88,81
2026-03-23,68,58
2026-03-24,76,62
2026-03-25,72,63
2026-03-26,69,56
2026-03-27,72,59
2026-03-28,96,77
2026-03-29,95,81
2026-03-30,77,66
2026-03-31,64,60
2026-04-01,74,59
2026-04-02,78,63
2026-04-03,78,64
2026-04-04,75,76
2026-04-05,88,76
2026-04-06,78,66
2026-04-07,72,63
2026-04-08,70,66
2026-04-09,76,66
2026-04-10,76,63
2026-04-11,89,74
2026-04-12,100,82
2026-04-13,74,63
2026-04-14,70,61
2026-04-15,72,60
2026-04-16,73,61
2026-04-17,71,62
2026-04-18,87,71
2026-04-19,98,85
2026-04-20,80,62
2026-04-21,74,61
2026-04-22,72,60
2026-04-23,73,57
2026-04-24,69,52
2026-04-25,84,71
2026-04-26,86,78
2026-04-27,72,65
2026-04-28,68,69
2026-04-29,68,60
2026-04-30,69,58
2026-05-01,80,74
2026-05-02,88,73
2026-05-03,91,78
2026-05-04,68,59
2026-05-05,73,58
2026-05-06,70,54
2026-05-07,74,58
2026-05-08,70,58
2026-05-09,83,71
2026-05-10,90,74
2026-05-11,70,60
2026-05-12,68,59
2026-05-13,70,54
2026-05-14,64,55
2026-05-15,65,52
2026-05-16,75,62
2026-05-17,85,65
2026-05-18,68,54
2026-05-19,65,51
2026-05-20,65,55
2026-05-21,66,52
2026-05-22,65,56
2026-05-23,76,63
2026-05-24,79,62
2026-05-25,63,51
2026-05-26,63,49
2026-05-27,64,50
2026-05-28,61,48
2026-05-29,66,49
