date,Nike,Adidas
2023-06-04,51,26
2023-06-11,48,27
2023-06-18,50,25
2023-06-25,48,24
2023-07-02,55,28
2023-07-09,54,26
2023-07-16,49,22
2023-07-23,48,24
2023-07-30,51,25
2023-08-06,56,27
2023-08-13,57,28
2023-08-20,58,28
2023-08-27,63,33
2023-09-03,63,35
2023-09-10,59,35
2023-09-17,55,34
2023-09-24,55,37
2023-10-01,57,35
2023-10-08,57,35
2023-10-15,60,34
2023-10-22,57,32
2023-10-29,57,31
2023-11-05,55,30
2023-11-12,64,34
2023-11-19,85,42
2023-11-26,71,32
2023-12-03,78,36
2023-12-10,82,36
2023-12-17,71,34
2023-12-24,64,32
2023-12-31,59,30
2024-01-07,59,32
2024-01-14,52,31
2024-01-21,49,31
2024-01-28,48,30
2024-02-04,44,27
2024-02-11,42,27
2024-02-18,47,30
2024-02-25,43,29
2024-03-03,45,29
2024-03-10,44,32
2024-03-17,47,36
2024-03-24,49,38
2024-03-31,52,41
2024-04-07,49,39
2024-04-14,47,35
2024-04-21,49,37
2024-04-28,48,34
2024-05-05,43,31
2024-05-12,43,30
2024-05-19,45,30
2024-05-26,44,29
2024-06-02,40,30
2024-06-09,37,28
2024-06-16,35,26
2024-06-23,37,25
2024-06-30,40,26
2024-07-07,44,27
2024-07-14,44,28
2024-07-21,42,28
2024-07-28,40,25
2024-08-04,45,25
2024-08-11,47,27
2024-08-18,49,33
2024-08-25,49,31
2024-09-01,54,36
2024-09-08,55,36
2024-09-15,53,39
2024-09-22,49,35
2024-09-29,49,35
2024-10-06,50,34
2024-10-13,49,34
2024-10-20,46,31
2024-10-27,45,32
2024-11-03,44,29
2024-11-10,52,31
2024-11-17,61,34
2024-11-24,73,37
2024-12-01,62,34
2024-12-08,61,32
2024-12-15,59,31
2024-12-22,54,30
2024-12-29,45,29
2025-01-05,51,32
2025-01-12,44,29
2025-01-19,40,27
2025-01-26,41,27
2025-02-02,39,27
2025-02-09,34,23
2025-02-16,32,25
2025-02-23,35,26
2025-03-02,37,27
2025-03-09,36,28
2025-03-16,41,31
2025-03-23,40,33
2025-03-30,42,34
2025-04-06,43,35
2025-04-13,43,34
2025-04-20,42,35
2025-04-27,42,33
2025-05-04,40,28
2025-05-11,38,27
2025-05-18,38,27
2025-05-25,37,27
2025-06-01,36,25
2025-06-08,36,23
2025-06-15,32,24
2025-06-22,33,24
2025-06-29,36,25
2025-07-06,45,30
2025-07-13,50,30
2025-07-20,44,28
2025-07-27,43,31
2025-08-03,43,28
2025-08-10,42,27
2025-08-17,47,30
2025-08-24,48,36
2025-08-31,46,38
2025-09-07,47,35
2025-09-14,41,33
2025-09-21,41,33
2025-09-28,45,34
2025-10-05,44,37
2025-10-12,42,35
2025-10-19,39,32
2025-10-26,40,30
2025-11-02,40,31
2025-11-09,46,34
2025-11-16,57,37
2025-11-23,64,42
2025-11-30,56,34
2025-12-07,51,34
2025-12-14,52,33
2025-12-21,48,32
2025-12-28,41,29
2026-01-04,52,34
2026-01-11,46,30
2026-01-18,43,30
2026-01-25,38,29
2026-02-01,38,28
2026-02-08,37,30
2026-02-15,39,27
2026-02-22,36,29
2026-03-01,36,32
2026-03-08,39,33
2026-03-15,39,36
2026-03-22,41,34
2026-03-29,40,36
2026-04-05,42,35
2026-04-12,40,35
2026-04-19,41,33
2026-04-26,40,36
2026-05-03,40,30
2026-05-10,36,31
2026-05-17,38,30
2026-05-24,35,26
